NAME; STORE; STANDARD PRICE; ORIGINAL PRICE; SALE PRICE
Funko Pop! Stacks Plastic Protector, ;Hot Topic ;$10.50;
Funko Atomic Blonde Pop! Movies Lorraine (Gun) Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Avengers: Infinity War Dorbz Ebony Maw Vinyl Figure, ;Hot Topic ;;$8.90;$7.00;;
Funko Destiny Pop! Games Dominus Ghaul Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Destiny Pop! Games Amanda Holliday Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Destiny Pop! Games Osiris Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Avengers: Infinity War Pocket Pop! Hulkbuster Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Disney Doug Pop! Patti Mayonnaise Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Destiny Pop! Games Hawthorne (With Louis) Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Avengers: Infinity War Dorbz Proxima Midnight Vinyl Figure, ;Hot Topic ;;$8.90;$7.00;;
Funko Marvel Avengers: Infinity War Pocket Pop! Iron Man Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Disney Doug Pop! Doug Funnie Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Pocket Pop! Disney Pixar Incredibles 2 Elastigirl Vinyl Key Chain, ;Hot Topic ;;$6.90;$5.52;;
Funko Solo: A Star Wars Story Wobblers Han Solo Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$10.00;;
Solo: A Star Wars Story Mystery Minis Blind Bag Plush Key Chain, ;Hot Topic ;;$5.90;$4.72;;
Funko Solo: A Star Wars Story Mystery Minis Blind Box Figure, ;Hot Topic ;;$7.90;$6.32;;
Funko Disney Pixar SuperCute Plushies Incredibles 2 Mr. Incredible Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Disney Pixar Incredibles 2 Pop! Screenslaver Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Pixar SuperCute Plushies Incredibles 2 Elastigirl Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Solo: A Star Wars Story Wobblers Lando Calrissian Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$10.00;;
Funko Smallville Pop! Television Lois Lane Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko The Real Cthulhu SuperCute Plushies Cthulhu Collectible Plush, ;Hot Topic ;;$36.90;$29.52;;
Funko Marvel: Future Fight Pop! Amadeus Cho (As Hulk) Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Garbage Pail Kids Pop! Clark Can't Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Garbage Pail Kids Pop! Ghastly Ashley Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko It Supercute Plushies Pennywise (Monster) Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Vynl. Hellboy & Abe Sapien Vinyl Figures, ;Hot Topic ;;$18.90;$15.12;;
Funko Harry Potter Vynl. Rubeus Hagrid & Harry Potter Vinyl Figures, ;Hot Topic ;;$18.90;$15.12;;
Funko Five Nights At Freddy's The Twisted Ones + Sister Location Mystery Minis Blind Box Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;;$7.90;$6.32;;
